INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	10.1
Global:
LX	374.314
LY	373.518
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
138	78	883	0	0	1	11.3348	34	50
139	877	837	0	0	1	13.0272	35	38
140	839	71	0	0	1	31.6791	35	46
141	71	841	0	0	1	28.5632	35	47
142	841	878	0	1	1	3.82966	35	45
143	817	759	0	0	1	19.7009	36	42
144	815	817	0	0	1	45.79	36	43
145	193	189	0	0	1	34.1248	39	49
146	631	630	0	0	1	44.4455	40	44
147	634	78	0	1	1	33.5945	40	50
148	817	818	0	0	1	37.5402	42	43
149	841	578	0	0	1	52.3626	45	47
150	732	71	0	0	1	23.0926	46	47
151	882	883	0	0	1	22.2729	50	49
152	885	886	0	0	1	17.4198	24	41
153	888	889	0	0	1	34.8541	3	16
154	891	892	0	0	1	24.1357	6	26
155	894	895	0	0	1	18.6852	22	47
156	897	898	0	0	1	4.8485	48	37
Cells
id	A0	EdgeNumb	Type	xflag	yflag	Area	Pressure	Perimeter	Centerx	Centery	EdgeList	CWVertices	dEnergy
1	2748.27	8	0	0	0	2749.78	197.577	-0.000465641	149.052	121.612	1,2,3,4,5,6,7,8,	761,755,756,628,627,466,635,762,	quadratic
2	2572.61	6	0	0	0	2553.42	190.373	0.00632872	234.594	142.35	9,10,11,12,13,14,	813,804,801,629,760,812,	quadratic
3	2894.22	5	0	0	0	2845.36	206.136	0.0143233	97.0334	221.708	15,16,17,18,153,	889,888,197,194,759,	quadratic
4	3131.85	7	0	0	0	3123.87	213.37	0.00216395	191.199	282.05	19,20,21,22,23,24,25,	876,819,818,583,584,733,875,	quadratic
5	2770.02	6	0	0	0	2738.08	204.603	0.0097853	290.51	59.0201	26,27,28,29,30,31,	879,805,806,844,843,880,	quadratic
6	2713.32	6	0	0	0	2682.25	204.943	0.00971706	82.3401	130.21	8,32,33,34,35,154,	761,762,763,892,891,764,	quadratic
7	2748.35	5	0	0	0	2708.88	205.089	0.0121851	332.115	66.8762	28,36,37,38,39,	844,806,853,856,851,	quadratic
8	2806.44	5	0	1	0	2781.21	204.371	0.00762777	367.557	331.976	40,41,42,43,45,	882,580,581,577,641,	quadratic
9	2721.82	6	0	0	0	2700.18	195.066	0.00674576	188.73	162.715	5,10,46,47,48,49,	628,756,815,816,760,629,	quadratic
10	2839.51	6	0	0	0	2824.06	217.652	0.00461524	122.646	300.736	21,50,51,52,53,54,	584,583,195,192,72,73,	quadratic
11	2963.92	6	0	0	0	2940.27	213.02	0.00677089	224.033	209.672	9,24,48,55,56,57,	812,760,816,819,876,870,	quadratic
12	3061.87	7	0	0	0	3051.63	209.243	0.00283828	257.407	244.393	25,57,58,59,60,61,62,	876,875,874,871,872,873,870,	quadratic
13	2772.67	6	0	0	0	2744.24	198.587	0.0087033	48.4418	38.699	63,64,65,66,67,68,	637,630,634,49,65,636,	quadratic
14	2592.52	7	0	0	0	2578.27	190.25	0.00466459	52.899	186.151	17,35,69,71,72,73,74,	197,888,764,891,173,172,196,	quadratic
15	2948.58	6	0	0	0	2928.61	205.624	0.00574668	315.134	333.414	41,76,77,78,79,80,	577,581,582,894,578,579,	quadratic
16	2940.18	5	0	0	0	2892.66	209.504	0.0137131	107.413	165.607	7,34,69,82,153,	755,761,764,888,889,	quadratic
17	2517.03	6	0	1	0	2495.42	195.824	0.00728215	3.59245	59.4399	38,64,83,84,85,87,	851,856,897,65,49,850,	quadratic
18	2792.23	7	0	1	0	2784.19	202.989	0.00244239	353.526	277.381	42,77,88,89,90,91,92,	581,580,189,869,868,754,582,	quadratic
19	2487.33	5	0	0	0	2450.04	195.011	0.0127226	308.914	200.803	59,93,95,96,97,	873,872,867,866,885,	quadratic
20	2543.77	7	0	0	1	2538.99	186.693	0.00159648	337.438	11.5274	27,37,40,78,83,98,99,	843,844,851,850,641,577,579,	quadratic
21	2598.13	6	0	0	0	2580.06	200.026	0.00590173	193.093	100.917	4,11,47,100,101,102,	627,628,629,801,837,836,	quadratic
22	2983.51	6	0	0	0	2960.64	206.295	0.00650476	290.359	290.261	61,76,90,103,104,155,	871,874,895,894,582,754,	quadratic
23	2796.77	4	0	0	0	2739.2	209.886	0.0174671	247.539	36.6827	31,105,106,107,	879,880,878,877,	quadratic
24	2667.99	6	0	0	0	2644.64	197.361	0.00742648	331.624	160.976	95,108,109,110,111,152,	885,866,865,854,852,886,	quadratic
25	2563.58	5	0	0	0	2536.38	195.739	0.00900364	234.714	301.176	19,62,104,112,113,	875,733,732,895,874,	quadratic
26	3039.19	6	0	1	0	3013.42	207.741	0.00719425	18.9341	143.654	74,110,114,115,116,154,	173,891,892,898,854,865,	quadratic
27	2723.76	6	0	0	0	2698.91	205.846	0.00774214	70.1268	259.425	16,53,71,117,118,119,	194,197,196,193,192,195,	quadratic
28	2966	5	0	0	0	2922.52	215.263	0.0124414	96.0032	85.9692	1,33,68,120,121,	762,635,637,636,763,	quadratic
29	2912.71	5	0	0	0	2880.18	209.292	0.00947775	165.757	54.7359	3,101,122,123,124,	466,627,836,838,465,	quadratic
30	3005.51	7	0	1	0	2992	206.46	0.00381293	371.429	201.123	73,92,96,111,116,125,126,	172,173,865,866,867,868,869,	quadratic
31	2725.16	6	0	0	1	2709.57	195.268	0.0048561	148.962	372.489	123,127,128,129,130,131,	465,838,839,204,205,631,	quadratic
