Voronoi Tesselation Data: 
NumbCells 400 	 rng 2031 
ratio pressure to tension	3.333333
Global:
LX	750.000000
LY	750.000000
A0	1406.250000
SEED	89542
TIMEINTERVAL	1.000000
MINAREA	14.062500
MINLENGTH	0.625000
NEWEDGELENGTH	1.250000
K	1.333333
GAMMA	10.000000
TOTALTIME	100.000000
CURRENTTIME	0.000000
VERBOSEON	1
INITIALSTEPSIZE	0.000100
error_tolerance_absolute_mechanical	0.010000
TISSUE_ALPHA	4.00
ALPHAM	0.400000
TISSUE_EXT_STRESS_X	0.000000
TISSUE_EXT_STRESS_Y	0.000000
equilibriumtolerance	1.000000e-02
NUCLEATIONTHRESHOLD	2.000000
NUCLEATIONBASECRITERIA	1
endGlobal
Vertices
id	x	y
6746	 679.6163	 610.4339
6778	 608.3424	 742.5999
6781	 536.6299	 721.5085
6782	 570.7804	 732.4748
6783	 583.7003	 710.4321
6784	 548.2741	 686.6945
6785	 571.5981	 687.8737
6808	 497.9244	 739.1553
6812	 467.1340	 746.4036
6813	 466.9645	 745.4921
6814	 457.8205	 735.9300
6815	 459.6643	 730.4274
6816	 436.3449	 739.9788
6817	 429.9442	 738.2036
6818	 451.2543	 699.3746
6819	 417.4841	 704.4122
6820	 415.0514	 707.6704
6822	 325.1904	 715.4053
6823	 346.1494	 732.9816
6824	 532.6669	 544.1104
6825	 463.7553	 599.2777
6826	 432.9191	 628.6898
6827	 489.9076	 626.3381
6828	 489.0804	 611.3738
6829	 463.8497	 649.2675
6830	 477.4755	 645.9151
7002	 497.0760	 604.1443
7003	 533.9008	 575.2355
7004	 542.6583	 608.7037
7005	 552.0008	 589.3161
7006	 552.3885	 591.2866
7007	 481.2381	 515.9797
7008	 447.0255	 509.9631
7009	 440.1355	 533.3196
7010	 445.0574	 541.2417
7011	 481.0717	 562.5341
7012	 503.7330	 578.2532
7013	 506.4378	 576.4599
7014	 511.6313	 545.4478
7015	 482.1157	 540.7918
7016	 495.1993	 533.6487
7017	 488.5407	 533.2718
7018	 459.6719	 590.2730
7019	 463.1263	 574.8137
