write testing
INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	0
Global:
LX	375
LY	375
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
99	641	850	0	1	1	53.8189	20	50
100	837	801	0	0	1	50.8889	21	38
101	627	836	0	0	1	52.2418	21	29
102	836	837	0	0	1	13.116	21	35
103	871	754	0	0	1	31.3793	22	32
104	731	874	0	0	1	47.4804	22	25
105	879	877	0	0	1	35.0959	23	38
106	877	878	0	0	1	43.2759	23	35
107	878	880	0	0	1	45.9154	23	45
108	803	852	0	0	1	35.4088	24	33
109	852	854	0	0	1	41.3906	24	48
110	854	865	0	0	1	11.0621	24	26
111	865	866	0	0	1	39.6877	24	30
112	730	732	0	0	1	54.2642	25	47
113	732	733	0	0	1	17.579	25	46
114	854	175	1	0	1	45.5379	26	48
115	64	66	0	0	1	46.9063	26	37
116	173	865	1	0	1	36.8981	26	30
117	194	195	0	0	1	4.90134	27	42
118	192	193	0	0	1	34.9733	27	49
119	193	196	0	0	1	55.0114	27	39
120	763	636	0	0	1	32.9695	28	37
121	637	635	0	0	1	64.4077	28	44
122	466	465	0	0	1	54.779	29	44
123	465	838	0	0	1	53.2716	29	31
124	838	836	0	0	1	40.239	29	35
125	172	869	1	0	1	52.4161	30	39
126	868	867	0	0	1	10.701	30	32
127	465	631	0	0	1	6.63008	31	44
128	631	205	0	1	1	46.9261	31	40
129	205	204	0	0	1	40.2091	31	34
130	204	839	0	1	1	59.5073	31	46
131	839	838	0	0	1	17.7609	31	35
132	814	813	0	0	1	32.0823	33	41
133	804	805	0	0	1	16.0657	33	38
134	853	852	0	0	1	29.055	33	48
135	218	72	0	0	1	44.5295	34	49
136	73	204	0	0	1	8.75717	34	46
137	205	78	0	0	1	60.1333	34	40
138	78	219	0	0	1	19.3454	34	50
139	877	837	0	0	1	18.8053	35	38
140	839	71	0	1	1	43.6284	35	46
141	71	841	0	1	1	23.9527	35	47
142	841	878	0	0	1	9.25578	35	45
143	817	759	0	0	1	26.2704	36	42
144	815	817	0	0	1	36.825	36	43
145	193	189	0	0	1	34.8834	39	49
146	631	630	0	0	1	40.0117	40	44
147	634	78	0	1	1	26.3442	40	50
148	817	818	0	0	1	42.0219	42	43
149	841	578	0	1	1	55.1427	45	47
150	732	71	0	0	1	32.5466	46	47
Cells
id	A0	EdgeNumb	Type	xflag	yflag	Area	Pressure	Perimeter	Centerx	Centery	EdgeList	CWVertices	dEnergy
1	2748.27	8	0	0	0	3154.3	209.687	-0.125364	144.825	127.876	1,2,3,4,5,6,7,8,	761,755,756,628,627,466,635,762,	quadratic
2	2572.61	6	0	0	0	2977.69	207.36	-0.133607	241.105	139.472	9,10,11,12,13,14,	813,804,801,629,760,812,	quadratic
3	2894.22	4	0	0	0	1912.2	181.023	0.287909	90.8391	221.807	15,16,17,18,	758,197,194,759,	quadratic
4	3131.85	7	0	0	0	4110.67	245.313	-0.265196	192.762	283.033	19,20,21,22,23,24,25,	876,819,818,583,584,733,875,	quadratic
5	2770.02	6	0	0	0	2220.79	181.44	0.168243	287.39	65.7961	26,27,28,29,30,31,	879,805,806,844,843,880,	quadratic
6	2713.32	5	0	0	0	1399.46	156.252	0.410879	85.0663	127.487	8,32,33,34,35,	761,762,763,765,764,	quadratic
7	2748.35	5	0	0	0	2772.08	205.574	-0.00732563	331.589	74.8399	28,36,37,38,39,	844,806,853,856,851,	quadratic
8	2806.44	6	0	1	0	3363.33	243.36	-0.168376	371.368	326.9	40,41,42,43,44,45,	219,218,580,581,577,641,	quadratic
9	2721.82	6	0	0	0	3363.53	217.829	-0.200053	187.757	163.361	5,10,46,47,48,49,	628,756,815,816,760,629,	quadratic
10	2839.51	6	0	0	0	3513.48	240.882	-0.201402	118.308	293.576	21,50,51,52,53,54,	584,583,195,192,72,73,	quadratic
11	2963.92	6	0	0	0	2960.83	213.434	0.000886795	228.909	210.692	9,24,48,55,56,57,	812,760,816,819,876,870,	quadratic
12	3061.87	7	0	0	0	2722.26	201.9	0.0941135	264.378	240.247	25,57,58,59,60,61,62,	876,875,874,871,872,873,870,	quadratic
13	2772.67	6	0	0	0	3129.88	218.439	-0.109316	47.3087	43.5732	63,64,65,66,67,68,	637,630,634,49,65,636,	quadratic
14	2592.52	9	0	0	0	2563.05	192.405	0.0096452	58.3811	177.48	17,35,69,70,71,72,73,74,75,	197,758,757,764,765,66,173,172,196,	quadratic
15	2948.58	7	0	0	0	3582.3	228.489	-0.18237	314.06	331.186	41,76,77,78,79,80,81,	577,581,582,731,730,578,579,	quadratic
16	2940.18	4	0	0	0	1883.56	175.677	0.304939	99.2485	157.557	7,34,69,82,	755,761,764,757,	quadratic
17	2517.03	7	0	1	0	3002.27	212.131	-0.163582	6.98854	75.1706	38,64,83,84,85,86,87,	851,856,175,64,65,49,850,	quadratic
18	2792.23	7	0	1	0	3079.22	212.976	-0.0872152	352.631	263.043	42,77,88,89,90,91,92,	581,580,189,869,868,754,582,	quadratic
19	2487.33	6	0	0	0	2064.87	189.335	0.14412	314.864	196.357	59,93,94,95,96,97,	873,872,867,866,803,814,	quadratic
20	2543.77	7	0	0	1	3464.25	224.394	-0.307045	328.472	18.5469	27,37,40,78,83,98,99,	843,844,851,850,641,577,579,	quadratic
21	2598.13	6	0	0	0	3136.97	213.937	-0.175981	195.198	98.7995	4,11,47,100,101,102,	627,628,629,801,837,836,	quadratic
22	2983.51	5	0	0	0	2678.09	201.136	0.0868643	294.773	280.48	61,76,90,103,104,	871,874,731,582,754,	quadratic
